MOVIE_TITLE;RELEASE_YEAR;RATING_AVG;RATING_CRITICS;RATING_AUDIENCE;VOTES_COUNT
Nightwing;1979;5,7;5;6;12
Time Without Pity;1956;7,9;8;8;15
Ein Alibi zerbricht;1963;6,3;6;7;3
Her Alibi;1989;6;6;6;39
Nightfall;1956;7,7;8;7;12
Alice;1990;6,7;6,7;7;94
Alice Doesn't Live Here Anymore;1974;7,7;7,73;8;124
Alien;1979;8,5;8,58;8;644
Alien degli abissi;1989;3,4;4;3;9
Alien Predator;1987;2,7;4;1;4
The Hidden;1987;7,3;7,44;7;73
Aliens;1986;8;7,93;8;382
Breaking Away;1979;7,3;7,78;7;21
Romancing the Stone;1984;7,2;7,47;7;178
Run for Cover;1954;7,2;7,33;7;34
Breathless;1983;6,4;6,9;6;42
All'ultimo sangue;1969;4,5;4;5;5
One A.M.;1916;7,4;7,83;7;24
Cutter's Way;1981;7,3;7,33;7;11
Everybody Wins;1990;5,6;5,75;6;28
The Land Before Time;1988;7,4;7,5;7;85
King Solomon's Mines;1985;4,4;4;5;19
Dead Heat on a Merry Go Round;1967;6,1;6;6;8
Summer Stock;1950;6,9;6;8;8
Funny Farm;1988;5,7;6;5;12
Bonnie Scotland;1935;7,4;8;7;26
Jitterbugs;1943;6;6;6;18
L'allegro fantasma;1941;5,3;5,5;5;23
Allegro non troppo;1977;7,9;7,83;8;64
Allegro squadrone;1954;4,1;4,5;4;16
Allemagne neuf zero;1991;7,8;8;8;16
L'allenatore nel pallone;1984;6,1;5,71;7;186
Skrijanc na nitick;1969;8,2;8;8;14
Jacob's Ladder;1990;7,4;7,4;7;103
Alta infedelta;1964;6,2;5,33;7;6
High Society;1956;7;7,67;6;62
Doppelganger;1992;5,7;6;5;7
Altissima pressione;1965;3,2;3;3;5
Hold My Hand I'm Dying;1988;6,5;7;6;3
Another Woman;1988;7,8;8,16;7;129
L'altra faccia del padrino;1973;5,3;4,67;6;7
Beneath Planet of the Apes;1970;6,9;6,25;7;87
Un'altra vita;1992;6,6;6,67;7;16
Strangers on a Train;1951;8,4;8,73;8;234
Always;1989;6,2;6,35;6;123
Espion leve-toi;1981;7,2;7;7;7
Love Me or Leave Me;1955;8,2;8,67;8;14
L'amant;1992;5,8;5,25;6;75
A Lady without Passport;1950;6,3;6;7;3
La faute de l'abbe Mouret;1970;4,3;5;4;10
The Iron Mistress;1952;4,9;4;6;8
Lady Chatterley's Lover;1981;5;4,75;5;21
Nous ne vieillirons pas ensemble;1972;7,2;7,33;7;34
Daisy Kenyon;1947;7;6,5;8;8
Broken Arrow;1950;8;7,75;8;40
Les choses de la vie;1970;7,5;7,78;7;54
Christine;1958;5,9;6,5;5;14
L'amant de poche;1977;7,5;7;8;5
Colorado Territory;1949;8;8,11;8;30
Lost Moment;1947;6,7;7,33;6;10
Lovers and Other Strangers;1974;6,5;6;7;3
Gli amanti latini;1965;4;4;4;22
Amarcord;1973;8,5;8,75;8;403
Amarsi un po'...;1985;3,9;3,33;5;40
Come and Get It;1936;7,8;7,86;8;20
The Ploughman's Lunch;1983;7,5;8;7;3
Forever Amber;1947;7,4;7,4;7;21
Boxcar Bertha;1972;7,4;7,57;7;74
Private School;1983;4,9;4,67;5;13
American Gigolo;1980;7,2;7,52;7;201
American Graffiti;1973;7,6;8,14;7;187
More American Graffiti;1979;6,6;7,29;6;28
An American in Paris;1951;7,5;7,79;7;86
Un americano a Roma;1954;7,2;7,32;7;169
Americano rosso;1991;5,6;5;6;25
The Quiet American;1957;7,4;8;7;15
L'amica;1969;5,2;5;5;24
On a Clear Day You Can See Forever;1970;6,1;6,4;6;13
Le amiche;1955;6,9;6,94;7;79
Best Friends;1982;5,5;4;7;6
Torch Song Trilogy;1988;7,3;7,67;7;27
Amici per la pelle;1955;6,6;5,5;8;13
Amici piu di prima;1976;5,6;4,5;7;14
Dangerous Company;1982;5;6;4;3
Der Amerikanische Freund;1977;7,7;7,76;8;98
L'ami de mon amie;1987;7,1;7,11;7;37
Les noces rouges;1972;7,1;7,5;7;41
Too Hot to Handle;1938;6,7;6;7;10
Mon amie le traitre;1988;5,3;5,5;5;8
The Amityville Horror;1979;5,9;5,77;6;71
Hamlet;1991;6,3;5,75;7;50
Jack the Giant Killer;1962;6,9;6,67;7;14
Ammazzali tutti e torna solo;1968;5,5;5,5;5;23
The Incredible Mr. Limpet;1963;6;4;8;3
Secret Admirer;1985;5,5;5,5;5;12
L'ammiratrice;1983;4,4;3;6;7
L'ammutinamento;1961;5;4;6;7
L'amore;1948;7;7;7;43
Un amore a Roma;1960;7;7,14;7;29
Love at First Bite;1979;6,9;7;7;10
Un amore americano;1992;4,3;4;5;8
L'amore breve;1969;5;4,67;5;6
Love Can Be Murder;1992;7;6;8;3
Teen Witch;1989;4,5;4;5;3
Un amour de Swann;1983;4,6;4;5;10
L'amore difficile;1962;5,9;5,43;6;20
Amore e chiacchiere;1957;7,1;7,29;7;21
Amore e ginnastica;1973;6,4;6,4;6;17
Amore e guai;1958;5,2;5,33;5;8
Flesh and Blood;1985;6,8;6,73;7;59
The Secret Agent;1936;6,9;7;7;37
Amore facile;1964;3,8;3,33;4;8
Un amore in prima classe;1980;3,6;3,25;4;13
Amore in quattro dimensioni;1964;4,3;4;5;6
Amore mio;1964;6;5;7;4
Amore mio aiutami;1970;5,9;5,67;6;68
A Message from Holly;1992;7;4;10;3
Love at Large;1990;6,2;6;6;9
L'amore primitivo;1966;3,7;3,5;4;12
Madeleine;1950;7;7;7;30
Romance on the High Seas;1948;6,8;7,33;6;15
The Little Minister;1934;5,8;6;6;9
When I Fall in Love;1988;5,9;6;6;8
Gli amori di Ercole;1959;4,3;4,5;4;8
Gli amori di Manon Lescaut;1954;5,5;6;5;5
Amori di mezzo secolo;1954;4,9;5;5;13
Amori in corso;1989;6;6,25;6;13
Amori miei;1978;5,6;5,11;6;26
Amsterdamned;1988;6,9;7;7;50
Amy;1981;6;6;6;3
Anastasia;1956;6,8;6,8;7;68
Anatomy of a Murder;1959;8,1;8,26;8;127
L'anatra all'arancia;1975;5,1;4,91;5;64
Anche gli angeli mangiano fagioli;1973;6,1;5,75;7;93
Ghoulies Go to College;1989;4,8;4;6;4
Anche se volessi lavorare, che faccio?;1972;6;5,75;6;14
Another 48 hrs;1990;5,9;5,78;6;99
Sweet Hearts Dance;1988;5,5;6;5;3
Once More, with Feeling!;1960;7,1;6,67;8;7
And the Pursuit of Happiness;1986;5,3;5;6;5
Andrej Rublev;1969;8,9;9;9;136
Andremo in citta;1966;6,2;6,33;6;5
Android;1982;7;8;6;15
The Andromeda Strain;1971;6,6;6,33;7;79
Angel Heart;1987;6,7;6,65;7;169
Angel;1984;6,4;6;7;9
Angela come te;1988;4,8;5;5;4
Pocketful of Miracles;1961;8;8,15;8;99
Hell's Angels On Wheels;1967;5,2;5;5;9
Broken Angel;1988;7;6;8;3
Angeli senza paradiso;1970;3,1;2;4;13
Angelique et le Sultan;1968;5,7;5,5;6;11
El nino y el Papa;1986;3,5;6;1;3
An Angel at My Table;1990;7,6;7,14;8;51
Der Blaue Engel;1930;8,4;8,5;8;104
L'angelo bianco;1955;6,8;6,71;7;28
L'angelo con la pistola;1991;4,1;3,75;4;18
Almost an Angel;1990;5,1;4;6;11
Black Angel;1946;6,9;7,17;7;21
Scarlet Angel;1952;6;6;6;4
Gaslight;1944;7,8;7,82;8;84
Un'anguilla da 300 milioni;1971;5,3;5;6;9
A Stolen Life;1946;7;7,22;7;37
Heaven Knows, Mr.Allison;1957;7,5;7,45;8;42
Animali metropolitani;1987;3,6;4;3;20
Animali pazzi;1939;5,6;5,6;6;19
Till the End of Time;1946;6,8;7,5;6;28
The Lonely Guy;1984;6,5;7,33;6;21
Possessed;1947;8;8;8;39
Walk on the Wild Side;1962;6,1;6;6;14
Anna Boleyn;1920;7,3;7,33;7;11
Anne of the Thousand Days;1970;6,6;7,33;6;15
The Miracle Worker;1962;8,6;8,82;8;106
Anna and the King of Siam;1946;7;8;6;7
Anna Karenina;1947;7,1;7,25;7;16
Anna Karenina;1935;7,5;7,11;8;28
Hope and Glory;1987;6,8;7,33;6;20
Die Bleierne Zeit;1981;7,8;7,5;8;35
Anni facili;1953;7,6;7,2;8;8
L'argent de poche;1976;7,8;7,94;8;79
Les annees lumiere;1981;7,6;8;7;9
Anni ruggenti;1962;7,8;7,73;8;66
Gallipoli;1981;7,8;8;8;135
Jupiter's Darling;1954;5,9;6;6;5
Anno 2020: i gladiatori del futuro;1983;4,2;4,67;4;10
Neon City;1992;6,1;6;6;7
Battle for the Planet of the Apes;1973;5,8;4,5;7;51
L'annee derniere a Marienbad;1961;7,8;8,74;7;104
The Year of Living Dangerously;1982;7,3;7,4;7;93
Lonely Hearts;1991;8;6;10;3
Dying to Love You;1992;6,5;6;7;3
Another Time, Another Place;1983;7;8;6;13
Antarctica;1983;7;6,83;7;29
L'Anticristo;1974;5,5;5;6;55
Die Antigone des Sophokles nach der Holderlinschen Ubertragung fur die Buhne bearbeitet von Brecht 1948 (Suhrkamp Verlag);1991;7,6;8,5;7;7
L'antimiracolo;1963;7;7;7;5
