MOVIE_TITLE;RELEASE_YEAR;RATING_AVG;RATING_CRITICS;RATING_AUDIENCE;VOTES_COUNT
D'Annunzio;1986;3,9;4;4;13
La ragazza del bersagliere;1967;4,4;4,2;5;11
Nicholas and Alexandra;1971;6,5;6,67;6;17
Key Witness;1960;6,3;6;7;3
Attack Force Z;1982;5,4;6;5;16
The Jayne Mansfield Story;1980;7;6;8;3
La moglie del prete;1971;6,2;6;6;37
The Carey Treatment;1972;5,7;6;5;7
The Good Earth;1937;7,8;8;8;3
One Two Buckle My Shoe;1991;5,4;6;5;8
Bmx Bandits;1983;5,8;6;6;7
Bram Stoker's Dracula;1992;7,9;7,87;8;459
The Lolly Madonna War;1973;7;6;8;5
Cento anni d'amore;1954;5,7;5,33;6;12
Le sorprese dell'amore;1959;6,1;5,67;7;7
Gli attendenti;1961;4,6;4,5;5;9
Arriva la bufera;1993;5,7;6;5;56
The Prime of Miss Jean Brodie;1969;7,5;8,25;7;17
The Strawberry Statement;1970;6,9;6,89;7;40
L'homme blesse;1983;6,2;7;5;10
Soldati e caporali;1964;5,7;3,33;8;4
Dressed to Kill;1980;7,7;7,81;8;226
Bingo;1991;5,9;6;6;8
The Preppie Murder;1989;6,8;6;8;3
Speriamo che sia femmina;1985;7,2;7,33;7;96
Der Stand der Dinge;1982;6,8;7,3;6;53
Shameful Secrets;1992;7;4;10;3
Rock'n' Roll Mom;1988;6;6;6;3
The Crowd Roars;1938;7,3;6,5;8;3
Presenting Lily Mars;1943;6,3;6;7;3
Battle Circus;1953;6,2;6;6;6
Enrico Caruso, leggenda di una voce;1951;4,7;4,75;5;7
In weiter Ferne, so nah!;1993;5,6;5,2;6;50
Trois couleurs - Rouge;1994;8,1;7,88;8;183
Radio Flyer;1992;6,4;6;7;9
Falling Down;1993;7,5;7,5;7;303
Truly Madly Deeply;1991;6,8;8;6;5
The Culpepper Cattle Company;1972;7,2;7,67;7;13
Cagliostro;1975;5,2;4,67;6;8
L'amante scomoda;1990;3,1;3;3;9
Of Pure Blood;1986;8,5;7;10;3
Il pirata del diavolo;1964;4,1;3;5;8
Germinal;1993;5,8;6;6;8
Matinee;1993;7,7;7,89;7;74
Bhowani Junction;1956;6,4;6,33;6;23
The Vanishing;1993;5,8;5,67;6;63
Carlito's Way;1993;8,8;8,85;9;472
Hot Shots! Part Deux;1993;6,8;6,56;7;101
The Private Life of Sherlock Holmes;1970;7,6;7,82;7;92
Per grazia ricevuta;1971;7,4;7,27;7;96
When a Stranger Calls;1979;7,1;7,17;7;29
Obiettivo ragazze raggiunto Stop missione compiuta;1963;4,1;4;4;13
Damage;1992;6,1;6,33;6;78
Shadows and Fog;1991;7,8;7,95;8;148
La chartreuse de Parme;1947;5,8;6;6;7
Toto contro i quattro;1963;6,5;6,3;7;70
Nora Prentiss;1946;6,9;7;7;6
Oh, What a Lovely War;1969;7;8;6;3
Army of Darkness;1992;7,5;7,43;7;280
Universal Soldier;1992;4,7;4,33;5;55
Showdown in Little Tokyo;1992;5,1;5;5;34
Doc Hollywood;1991;5,3;5;6;30
Now, Voyager;1942;7,9;7,8;8;61
Quatermass and the Pit;1967;7,8;7,2;8;60
Gli orizzonti del sole;1955;5,1;4,5;6;5
Rock'n'roll;1978;4,2;3;5;5
Sbamm!;1980;3,6;3,67;3;21
Extreme Prejudice;1987;6,5;6,4;7;42
Almost Pregnant;1992;4,5;4;5;3
Flatliners;1990;6;5,36;7;97
The Happiest Millionnaire;1967;4,5;4;5;3
The Fall of the Roman Empire;1964;6,2;6;6;20
No Blade of Grass;1970;7;6,5;7;12
Skirts Ahoy;1952;4,3;4;5;4
The Light in the Piazza;1962;7,1;6;8;9
The Ravagers;1979;6;4;8;3
La belle equipe;1936;7,8;8;8;10
Paris, Texas;1984;7,5;7,54;7;160
Abbronzatissimi 2. Un anno dopo;1993;2,9;2,83;3;57
Abgeschminkt!;1993;7,6;8;7;6
Straight Shooting;1917;6,9;7;7;19
Partners in Crime: The Secret Adversary;1982;7;6;8;3
Cronaca di un amore;1950;7,7;7,92;7;98
Teenage Mutant Ninja Turtles III;1993;3,7;3,25;4;18
A Seduction in Travis County;1991;5,8;6;6;3
Raging Bull;1980;8,6;8,84;8;447
Alice in den Stadten;1973;8,1;8,31;8;85
Il bandolero stanco;1952;5;3;7;5
Il gatto di Brooklyn aspirante detective;1973;4,2;3,5;5;20
La furia dei Kyber;1970;4,3;4;5;4
Uccidi o muori;1967;5,1;5,33;5;9
Tutti per uno botte per tutti;1973;3,2;3,33;3;16
Seduto alla sua destra;1968;7;6,75;7;11
My Girl;1991;6;6;6;36
Tetsuo II: Body Hammer;1992;6,9;6,6;7;43
Porcile;1969;7,2;7,23;7;62
La chartreuse de Parme;1947;4,8;5,33;4;7
Offret - Sacrificatio;1986;7,4;8,11;7;82
Unlawful Entry;1992;6,2;6,4;6;43
Messenger of Death;1988;4,5;4;5;6
Max Dugan Returns;1983;6,5;6;7;7
Stop! Or My Mom Will Shoot;1992;3,9;3,56;4;78
My Cousin Vinny;1992;7;7,08;7;135
Soapdish;1991;7,1;6,89;7;33
When Harry Met Sally...;1989;7,4;7,36;7;299
Friendly Persuasion;1956;7,3;7,33;7;71
The Mad Room;1969;6,5;4;9;3
Far and Away;1992;5,9;5,91;6;127
Cheyenne;1947;7,5;8;7;5
La cicala;1980;7,2;6,44;8;67
La vendetta di Ursus;1961;4,2;4;4;5
Battle Beyond the Stars;1980;5,3;4,67;6;12
Follow Me, Boys!;1966;6,2;6;6;13
The Sea Hawk;1940;7,6;7,75;7;26
Asterix chez les Bretons;1986;5,7;5;6;48
Dove vai tutta nuda?;1969;3,7;3,25;4;17
Il giovane normale;1970;6,4;5,75;7;6
Indian Summer;1993;5,4;5,67;5;8
I mitici. Colpo gobbo a Milano;1994;5,4;5,38;5;87
My Life;1993;5,7;5;6;41
Trois couleurs. Bleu;1993;8;7,81;8;217
Falsche bewegung;1975;7,1;7,29;7;28
A Bronx Tale;1993;7,6;7,5;8;149
Lambada;1990;3,3;4;3;3
Sai cosa faceva Stalin alle donne?;1969;4,2;4,5;4;10
Sandokan la tigre di Mompracem;1963;4,3;4,5;4;10
Cuori sul mare;1949;3;5;1;3
The Teahouse of the August Moon;1956;5,2;5,5;5;9
Io speriamo che me la cavo;1992;5,6;5,23;6;128
Il cardinale Lambertini;1954;6,3;6,67;6;19
Oliver's Story;1978;4,8;4;6;6
Cabalgando hacia la muerte;1962;4,8;4;6;3
Empire of the Sun;1987;7,7;7,81;8;196
The Trip to Bountiful;1986;7,4;7;8;10
There Was a Little Boy;1993;6,5;6;7;5
Twin Peaks: Fire Walk with Me;1992;7;6,76;7;224
Caino e Caino;1993;4,8;4,75;5;31
Hell Divers;1931;7,5;8;7;3
Bobby Deerfield;1977;5,8;6,38;5;27
Wife Versus Secretary;1936;6,2;6;6;4
My Wild Irish Rose;1947;5,8;6;6;3
Neptune's Daughter;1949;6,8;7;7;7
Cyclone;1977;5,4;4;7;7
Ten Thousand Bedrooms;1956;5,8;6;6;5
Doughboys;1930;7,7;8;7;4
Due volte vent'anni;1994;2,3;3,5;1;3
Im lauf der Zeit;1976;7,9;7,9;8;68
Splitting Heirs;1993;6;5;7;9
Quai des brumes;1938;8,1;8;8;52
Benito Mussolini;1962;5,3;6;5;5
Runaway Train;1985;7,9;8,13;8;169
Raising Cain;1992;6,7;6,86;7;116
Sommersby;1993;5,8;5,4;6;57
The Program;1993;5,8;6;6;13
Massacro al Central College;1976;5,8;5,33;6;27
Tempi nostri (Zibaldone n. 2);1954;5,5;5;6;21
Assisi Underground;1984;5,2;4;6;4
The Shaggy Dog;1959;5,3;4;7;6
Cohen and Tate;1988;7,7;8,33;7;46
Annie Hall;1977;8,6;8,92;8;454
In the Heat of the Night;1967;7,9;8,05;8;147
Bang the Drum Slowly;1973;6,6;6,5;7;10
Una spada per l'impero;1964;3,8;3;5;6
Nell'anno del Signore;1969;7,5;7,4;8;125
Ursus;1960;4;4;4;9
The Rise and Fall of Legs Diamond;1960;8,1;8;8;8
Paisa;1946;8,3;9,22;7;169
Alien 3;1992;6,6;6,57;7;281
American Ninja 2: the Confrontation;1987;5,1;6;4;10
Oh, God! Book II;1980;4,3;4;5;3
Key Largo;1948;7,5;7,4;8;51
Tron;1982;6,9;6,87;7;94
The Molly Maguires;1970;7,3;7,3;7;42
The Shadow of Obsession;1993;5,8;4;8;3
The Hudsucker Proxy;1994;7,3;7,35;7;142
Golden Gate;1994;5,8;6;6;5
What's Love Got to Do with It?;1993;5,8;5;7;13
Free Willy;1993;5;4,67;5;32
The Firm;1993;6,8;6,82;7;199
Senza pelle;1994;7,1;7,13;7;31
Family Plot;1976;7,1;7,27;7;151
Capitan Nemo and the Underwater City;1969;4,6;4;5;6
All in a Night's Work;1961;5;4;6;3
Zero in condotta;1983;4,4;3,33;6;9
La valle dell'eco tonante;1965;3,8;3;5;4
Dracula;1931;7,3;7,05;8;122
Luna rossa;1951;3;4;2;3
Underworld U.S.A.;1961;8,6;8,6;9;22
Amanecer en puerta oscura;1962;4,8;4;6;5
Uno dopo l'altro;1967;3,8;3;5;5
Ash Wednesday;1973;4,5;4;5;3
Joshua Tree;1993;5,7;6;5;24
Miller's Crossing;1990;7,7;7,9;8;205
Il tesoro della foresta pietrificata;1965;3,1;3;3;8
The Spy Who Loved Me;1977;7,2;7,4;7;111
Those Bedroom Eyes;1992;5,2;4;6;4
Lady Beware;1987;7,2;7,33;7;12
Ricky & Barabba;1992;4,7;4,5;5;96
Mortal Thoughts;1991;5,8;5,5;6;27
Ultimate Betrayal;1994;6;6;6;3
Feds;1988;4,2;4;4;4
Rapid Fire;1992;5,9;5,75;6;19
L'avventura;1960;7,9;8,6;7;167
Thousands Cheer;1943;7,3;8;7;3
Hollywood Canteen;1944;5,3;6;5;4
Un minuto per pregare, un istante per morire;1969;5,7;4;7;6
Dispara!;1993;3,7;3,75;4;23
Kalifornia;1993;6,1;6,31;6;101
Rising Sun;1993;6,1;5,7;7;93
Hotel Room;1992;6,5;5,33;8;13
Mrs. Miniver;1942;7,7;7,67;8;37
Il ladro di Damasco;1963;3,5;3;4;7
Misunderstood;1983;5,9;5;7;6
Nestore. L'ultima corsa;1993;5,1;4,83;5;64
Mazzabubu... quante corna stan quaggiu?;1971;2,8;2,2;3;22
Il dito nella piaga;1969;4,5;3,5;5;11
New Frontier;1935;5,3;6;5;9
Tentacoli;1977;5,4;5,5;5;33
Lady Barbara;1971;3,3;3;4;10
Gli invincibili tre;1964;3,8;3;5;5
Nanou;1986;6;6;6;3
Huozhe;1994;8;7,8;8;22
Anche i commercialisti hanno un'anima;1994;3;3,4;3;39
40 Guns to Apache Pass;1967;5,6;4;7;5
Le guignolo;1980;6,1;6;6;6
Zardoz;1973;7;7;7;80
Attila flagello di Dio;1982;4,4;3,85;5;134
March or Die;1977;6,3;6;7;39
La Dama rossa uccide sette volte;1972;5,6;4,86;6;55
The Lookalike;1990;7;4;10;3
Jack McCall Desperado;1952;6,3;6;7;3
Peter Gunn - Rogue Cops;1989;5,6;6;5;6
Il volpone;1988;6,1;5,86;6;35
Hook;1991;6,2;6,09;6;268
Verso Sud;1992;7,6;8;7;11
The Great Ziegfeld;1936;7,3;6,5;8;4
Il piccolo diavolo;1988;7;6,67;7;198
Third Degree Burn;1989;6,2;6;6;4
The Swarm;1978;4,8;5;5;25
A Kiss Before Dying;1991;4,9;4,33;6;35
Hush Little Baby;1994;6;6;6;4
Malice;1993;5,1;4,25;6;51
Three Violent People;1956;6,4;6;7;10
Texas Carnival;1951;5,8;6;6;4
The Jazz Singer;1927;6,3;6,17;6;14
Black Eagle;1988;5,2;7;3;16
Moulin Rouge;1952;7,6;7,71;8;39
A Nightmare on Elm Street;1984;7,7;7,41;8;325
Blow Up;1966;7,8;8,07;8;247
Riding Shotgun;1954;5,8;6;6;15
Boom Town;1940;7,8;7,75;8;14
Diplomatic Immunity;1991;5;4;6;4
Piccolo grande amore;1993;2,7;2,43;3;54
Padre e figlio;1994;6,7;8;5;6
Troppo sole;1994;5,3;4;7;10
...Cresus...;1960;6,4;6;7;6
Dr. Jekyll and Mr. Hyde;1932;8,8;8,86;9;47
Homeward Bound: The Incredibile Journey;1993;5,1;4;6;12
Apache Uprising;1965;5,3;6;5;3
Single White Female;1992;6,8;7,05;7;106
Scarecrow;1973;7,9;8,2;8;82
He Ran All the Way;1951;7,3;8;7;11
Hearthquake;1974;5,4;5;6;55
La bella di Lodi;1963;6,1;6,4;6;18
Cattiva;1991;5,4;5,17;6;13
Alvaro piuttosto corsaro;1954;4,9;4,5;5;9
Tammy Tell Me True;1961;6,3;6;7;16
The Real McCoy;1993;5;5;5;27
Paradise;1991;6,3;6;7;24
Una storia semplice;1991;7;7,08;7;68
Cape Fear;1991;7,6;7,71;8;387
Under Suspicion;1991;6,7;6,8;7;45
The Cocoanuts;1929;6,6;7,33;6;13
High Anxiety;1977;6,5;6,38;7;73
The Naked Jungle;1954;6,5;6,5;7;11
Appunti per un'Orestiade africana;1970;7,4;7,38;8;16
Deadly Game;1991;5,8;6;6;3
Io, io, io... e gli altri;1965;6,2;6,22;6;38
Traces of Red;1992;4,4;4;5;18
Defending Your Life;1991;4,7;4;5;21
Adam's Father - Broken Cord;1993;6,4;6;7;6
Kuffs;1991;5,9;6;6;9
Count Your Blessings;1959;5,3;6;5;4
Psycho II;1983;6,7;6,5;7;62
Cry Baby;1990;6,8;7;7;57
The Cement Garden;1993;7,7;7,6;8;28
La estrategia del caracol;1993;6;5;7;7
Clash by Night;1952;7;6,71;7;23
The Woman in White;1948;7,3;6,67;8;4
High Barbaree;1947;5;7;3;4
Psycho III;1986;5,5;5,33;6;31
La scorta;1993;7;7,67;6;53
Kamikaze 1989;1982;5,4;5,33;6;5
Without Warning;1980;4,5;4;5;6
No Deposit, No Return;1976;6,4;7;6;13
Der Philosoph;1988;7,7;8;7;8
Jekyll & Hyde;1990;6,2;6;6;10
Son in Law;1992;3,5;4;3;3
Jennifer Eight;1993;6;6;6;46
The Inner Circle;1991;6,8;7;7;26
Pierrot le fou;1965;7,6;7,06;8;77
Tammy and the Doctor;1963;4,9;4;6;6
Born Yesterday;1950;7,5;7,92;7;62
Animal Crackers;1930;7,2;7,71;7;25
Oro;1993;4,8;2;8;3
Trail of the Pink Panther;1982;4,8;4,25;5;34
Il provinciale;1971;4,8;5,33;4;10
La cage aux folles;1978;7,2;7,31;7;103
La rebelion de los bucaneros;1972;4,9;6;4;6
Colpire al cuore;1982;7,2;7,61;7;58
La caduta degli angeli ribelli;1981;5,4;5,2;6;9
Die dritte Generation;1979;6,5;6,57;7;33
Corsa in discesa;1989;3,8;4;4;5
My Breast;1993;7;4;10;3
Never Say Die;1995;6;5;7;4
Al di la dell'odio;1972;2,3;2,67;2;4
Dio perdoni la mia pistola;1970;4,3;3;6;4
Ad uno ad uno... spietatamente;1968;5,8;6;6;3
Sabato italiano;1992;5,9;6;6;6
Undercurrent;1946;6,5;6;7;5
Downhill Racer;1969;5,3;5,25;5;14
The Voice of the Turtle;1947;6,5;7;6;3
The Outriders;1953;6,2;6;6;4
Delta Force 2: The Colombian Connection;1990;4,4;4,33;4;18
Secondo Ponzio Pilato;1987;6;6,13;6;33
Maciste contro il vampiro;1961;4,4;4;5;6
The Thing Called Love;1993;6,8;7,5;6;18
The Fugitive;1993;7,3;7,26;7;251
Hexed;1992;6,3;6;7;5
Les creatures;1966;6,6;6,5;7;5
Vale Abraao;1993;7,2;7,67;7;13
Rape and Marriage - The Rideout Case;1980;6,5;6;7;4
The Dollmaker;1984;7;6;8;3
Blue;1993;8,1;8,86;7;26
The Appointment;1969;5,5;6;5;4
Freaks;1932;9,1;9,29;9;291
True Romance;1993;7,4;7,06;8;174
The Lady from Shanghai;1947;8,3;8,24;8;131
Wisdom;1986;6,2;6;6;5
Monkey Business;1931;8,4;8,64;8;31
Rambling Rose;1991;6,5;6,33;7;10
David e Golia;1959;4,7;5;4;11
Pirana 2;1981;5,1;5,6;5;49
Baby Gang;1992;7;6;8;3
Educating Rita;1983;6,9;6,67;7;13
Gross Anatomy;1989;5,7;6;5;6
Ghost Dad;1989;5,7;6;5;27
The Death Kiss;1932;6,4;6,67;6;12
The Front Page;1974;7,5;8,08;7;196
The Egyptian;1954;5,6;5;6;20
The Power of One;1992;6,5;6;7;14
Milano trema: la polizia vuole giustizia;1973;6,2;6;6;52
Giovannona Coscialunga disonorata con onore;1973;5,2;4,9;5;63
A Man, a Woman and a Bank;1979;7,1;8;6;7
Ricochet;1991;5,9;5,33;7;26
Napoli violenta;1976;6,4;6,09;7;61
Mia moglie e una bestia;1988;3,3;3,17;3;57
Field of Dreams;1989;7;6,57;7;127
The In-Laws;1979;6,8;6,67;7;33
Random Harvest;1942;7,8;7,67;8;18
Manhattan Baby;1982;5;4,88;5;44
Attack of the 50 Ft. Woman;1993;6,3;6;7;4
Daens;1992;7,5;8;7;3
Patriot Games;1992;5,9;5,43;6;88
The Baby of Macon;1993;7,3;8,13;6;23
Cari fottutissimi amici;1994;6,2;6,25;6;73
Last Action Hero;1993;6,2;6;6;115
Rookie of the Year;1993;4,3;4;5;3
Sliver;1993;4,4;4,2;5;41
Il cammino della speranza;1950;7,4;7,57;7;56
Hotel Paradiso;1966;5,1;4;6;5
La vingt-cinquieme heure;1967;6,4;6;7;9
Pretty Maids All in a Row;1971;7,3;8;7;4
Blue Blood;1973;3,1;2;4;5
I cinque dell'Adamello;1954;5,1;3,5;7;7
Outland;1981;7;7,17;7;129
The Wagons Roll at Night;1941;6,3;6;7;10
Frontier Rangers;1959;6;6,5;5;15
Cannonball;1976;5,8;6,67;5;9
Halloween 5;1989;6,1;6,67;6;23
La notte dei serpenti;1969;4,1;4,25;4;10
Un affaire de femmes;1988;7,6;7,79;7;37
Maciste nella terra dei Ciclopi;1961;4,5;4;5;6
The Wind;1928;9;8,91;9;35
Mystery of the Wax Museum;1933;7;7,25;7;27
Indecent Proposal;1993;4,7;4,47;5;128
Alibi perfetto;1991;3;3;3;4
Per un dollaro di gloria;1967;4,7;4,5;5;13
La caza del oro;1974;5,1;4;6;6
Horse Feathers;1932;8;7,89;8;32
Blue;1968;6,3;6;7;9
Dirty Money;1994;7;6;8;3
North to Alaska;1960;7;6,8;7;35
La poliziotta fa carriera;1976;4;4;4;32
The Riddle of the Sands;1978;6,5;6;7;3
Grayeagle;1977;6,3;6;7;6
Il comune senso del pudore;1976;5,3;5,22;5;64
Red Tomahawk;1967;5,8;6;6;5
Getting Out;1994;9;8;10;3
Champagne in Paradiso;1983;3,1;2,67;3;14
Final Analysis;1992;5,4;5;6;69
La cage aux folles 3;1985;4,8;4;6;17
Bellifreschi;1987;4,2;3,83;5;58
Impiegati;1984;6,4;6,45;6;55
Nottataccia;1991;4,3;4,5;4;12
It Started in Naples;1960;5,8;5,75;6;23
Splash;1984;5,8;5,7;6;105
Smokey and the Bandit;1977;6,7;6,8;7;23
The Two Mrs Carrolls;1947;6,8;6,71;7;23
Men of Boys' Town;1941;6,3;6;7;4
The Passionate Plumber;1932;6;6;6;4
Stargate;1994;6,3;6,25;6;211
De eso no se habla;1993;5,2;4;6;4
Maniaci sentimentali;1994;4,7;4,33;5;14
Posate le pistole reverendo;1972;2,3;3;2;4
Bad Boy Bubby;1993;7,1;7,29;7;41
Stay Tuned;1992;4,7;4;5;12
The Public Eye;1992;7,2;7,63;7;60
Aleksandr Nevskij;1938;8,1;8,36;8;76
La moglie e uguale per tutti;1955;5;5,33;5;11
Le finte bionde;1988;3,8;3,33;4;14
La carne;1991;5,4;5,67;5;71
La donna scimmia;1964;8;8,04;8;114
Nightkill;1980;7,7;8;7;10
Smorgasbord;1982;6,8;8;6;6
The Funhouse;1980;6,8;6,9;7;75
Antes llega la muerte;1964;6;6;6;15
Pochi dollari per Django;1966;4;4;4;10
Despair - Eine Reise ins Licht;1978;7,2;7,3;7;29
A Nightmare on Elm Street 4: The Dream Master;1988;6;5,83;6;91
The Guardian;1990;6,5;7,06;6;91
You're Never Too Young;1955;7;6,6;7;24
The Castaway Cowboy;1974;5,7;6;5;6
Scent of a Woman;1992;6,7;6,6;7;218
Play Nice;1992;7;6;8;3
Hardly Working;1981;7;7,67;6;13
Helen of Troy;1955;5,1;4,33;6;13
Le proces;1962;8,1;8,06;8;91
Grease 2;1982;3,7;3,33;4;23
Urban Cowboy;1980;7,1;6,67;8;37
The Hill;1965;8,2;8,38;8;49
A Star Is Born;1937;7,7;7,75;8;30
The Awakening;1979;6;6;6;38
Tora! Tora! Tora!;1970;7,1;7;7;87
Between Heaven and Hell;1956;6,1;6;6;5
Road to Denver;1955;6,3;6;7;3
I Am a Fugitive from a Chain Gang;1932;8,9;8,89;9;40
The Sisters;1938;7,3;7,6;7;13
Harry and Walter Go to New York;1976;4,8;4;6;6
Born Yesterday;1993;5,2;5,5;5;25
I sovversivi;1967;5,8;6;6;27
The Winter Kills;1979;6,6;6;7;7
Stacka;1925;8,6;8,58;9;60
That's My Boy;1951;6;6;6;4
Night of the Living Dead;1990;6,5;6,4;7;48
King of the Hill;1993;6,4;6,33;6;14
Body Shot;1993;4;4;4;3
The Piano;1993;7,5;7,3;8;227
The Lost Weekend;1945;8,5;8,43;9;143
Diario di un vizio;1993;7,3;6,56;8;62
Milou en Mai;1990;6,6;6,67;7;15
Pummaro;1990;6,2;6;6;6
The Battle of Villa Fiorita;1965;5,3;6;5;10
The Great Sinner;1949;7;6,5;7;7
Le silence est d'or;1947;7,8;8;8;11
Sherlock Junior;1924;9,3;9,43;9;118
The Chalk Garden;1964;7,6;7,86;7;37
Agatha;1979;6,1;6,22;6;33
Tonight and Every Night;1945;6,3;6;7;6
Moby Dick;1956;7,7;7,79;8;113
John Carpenter's Body Bags;1993;6,3;6;7;63
Lower Level;1991;5,9;6;6;6
American Ninja 3: Blood Hunt;1989;4,9;6;4;10
Outcast;1954;6,3;6;7;11
Vampire Circus;1971;6,4;6;7;11
The Beast with Five Fingers;1946;7,7;7,33;8;5
Movie Movie;1978;7,4;8;7;11
Nightmare Honeymoon;1973;4,3;4;5;3
One Way Passage;1932;7,8;8;8;4
Per amare Ofelia;1974;5;4,5;5;26
L'insegnante va in collegio;1978;4;3,25;5;44
Caroline Cherie;1967;3,5;4;3;3
La discesa di Acla a Floristella;1992;5,4;5,4;5;8
Il giudizio universale;1961;6;5,88;6;50
Graffiante desiderio;1993;3,8;3,33;4;35
The Girl in the Red Velvet Swing;1955;7,4;8;7;18
Napoli... la camorra sfida, la citta risponde;1979;3,8;2,67;5;13
Son of Fury;1942;7,7;8;7;11
A Tales of Two Cities;1935;8;7,5;8;21
Man of a Thousand Faces;1957;8,3;8;9;7
Romanoff and Juliet;1961;6,5;6;7;5
Descending Angel;1990;7,3;6;9;5
The Revolutionary;1970;8;8;8;5
Sullivan's Travels;1941;8,4;8,5;8;59
Nuit d'ete en ville;1990;6;4;8;4
Backbeat;1993;6,9;7;7;8
The Gypsy and the Gentleman;1958;6,4;6,5;6;25
I Could Go on Singing;1963;5,6;6;5;5
Sedotta e abbandonata;1963;8,3;8,21;8;157
National Lampoon's European Vacation;1985;4,5;4;5;14
Battle of the Bulge;1965;6,8;6;8;62
The Hunter;1980;6,3;6;7;19
Una fredda mattina di maggio;1990;5,1;3,5;7;6
Trooper Hook;1957;6,2;6;6;4
Il vigile;1960;7,4;7,31;8;168
Gunfight at the O.K. Corral;1957;7,5;7,5;8;86
The Carpetbaggers;1964;6,2;6;6;18
Blade Runner;1982;9;9,03;9;789
Cimarron;1930;7;6;8;5
Possessed;1931;7;7;7;5
Night of the Lepus;1972;5,1;6;4;15
Son of a Gunfighter;1964;5,1;6;4;8
Dennis the Menace;1993;5,5;5,5;6;55
Mr. Jones;1993;5,2;5,2;5;49
La dottoressa preferisce i marinai;1981;3,5;3,33;4;29
Nati con la camicia;1983;6,7;6,38;7;120
L'arciere nero;1959;4;4;4;3
Breakout;1974;5,9;6;6;12
A Day at the Races;1937;7,8;7,45;8;21
Ascoltami;1957;4,2;3;5;5
Those Darying Young Men in Their Jauntry;1969;6,4;6;7;5
Man, Woman and Child;1983;7,5;8;7;4
The Rainmaker;1956;7,1;7,5;7;25
Il ragazzo del pony express;1986;4,3;4;5;60
Cry in the Wild;1991;6,8;6;8;3
Berlin, die Symphonie einer Grosstadt;1927;7,3;7,4;7;15
What?;1972;6,4;6,25;6;85
Avanti!;1972;7,3;7,28;7;82
Woman of Desire;1993;5,5;4;7;3
The Tales of Hoffmann;1951;8,8;8,89;9;32
Hanover Street;1979;5,5;5,8;5;22
Questa volta parliamo di uomini;1965;5,3;4,75;6;20
Town Tamer;1965;5,9;6;6;5
W USA;1970;7,3;8;7;9
The Friends of Eddie Coyle;1973;8;7,6;8;17
Searching for Bobby Fisher;1993;6,3;6,33;6;19
Sleepwalkers;1992;5,7;6;5;28
Uncivilized;1994;3,8;4;4;3
The Burning Hills;1956;5,1;4,67;6;23
Young Man with a Horn;1950;7,2;6,67;8;12
A Guide for the Married Man;1966;6,7;7;6;17
Who's Minding the Store?;1963;7,5;7,6;7;29
Kidnapped;1960;6,3;6;7;4
Riso amaro;1948;8,3;8,52;8;172
Lola;1961;7,6;8,2;7;17
Deception;1946;7,5;7,6;7;22
Belle de jour;1967;8,2;8,35;8;171
The Magnificent Seven;1960;8,1;8,17;8;189
Live and Let Die;1973;6;6,55;6;130
Ercole al centro della Terra;1961;6,2;5,75;7;35
Good News;1947;6,5;6;7;3
The Champ;1931;7,9;7,75;8;5
Enter the Dragon/Long zheng hu dou;1973;7,3;7,58;7;88
The 7th Dawn;1964;5,2;4;6;7
Free and Easy;1930;5,7;6;5;4
A Girl Named Tamiko;1962;3,3;4;3;3
The Young Adventurer;1972;6,8;6;8;5
The People under the Stairs;1991;6,7;6,6;7;115
Needful Things;1993;5,9;5,67;6;43
The Getaway;1994;4,7;4,4;5;48
Body Parts;1991;6,5;6;7;5
Money for Nothing;1993;4,2;4;4;7
Gunmen;1994;4,8;5,33;4;14
L'enfer;1993;7,5;7,67;7;60
I fratelli Castiglioni;1937;4,8;4,5;5;4
Jolanda, la figlia del Corsaro Nero;1952;4,5;4,67;4;10
L'uomo dagli occhi di ghiaccio;1971;4,5;4;5;11
Ciao ma'... Baci da Roma ;1988;4,8;4,5;5;19
Tecnica di un omicidio;1967;4;3;5;8
The Amorous Adventures of Moll Flanders;1965;5,3;5;6;6
Invitation to a Gunfighter;1964;6,6;7;6;21
Cento giorni a Palermo;1984;6,4;6,13;7;56
Everybody 's Baby: The Rescue of Jessica Mc Clure;1989;7,5;6;9;7
La legge della violenza;1969;3,9;4,67;3;11
Cul-de-sac;1966;7,8;7,88;8;98
The In Crowd;1987;6;8;4;3
Le tatoue;1968;3,4;4;3;20
The Thrill of It All;1963;6,8;7;7;28
Il conte Max;1957;7,2;7,08;7;93
Badge 373;1974;6,5;6;7;4
Boomerang;1992;4,4;4,29;4;58
Hawaii;1966;5,6;5,2;6;12
How To Murder Your Wife;1964;6,4;6,33;6;49
Das Boot;1980;7,7;7,75;8;115
Child of Darkness, Child of Light;1991;4,5;4;5;3
In Harm's Way;1965;6,8;6,25;7;27
You Ruined My Life;1989;6,5;6;7;3
The Island at the Top of the World;1974;5,7;5,6;6;18
The Bridges at Toko-Ri;1954;6;6;6;20
The Magnificent Amberson;1942;8,5;8,95;8;135
The Thomas Crown Affair;1968;6,7;6,83;6;73
The Cat from Outer Space;1978;5,8;6;6;17
The Longhorns;1951;6;6;6;3
The Graduate;1967;8,2;8,38;8;347
Il Tigre;1967;6,2;6,4;6;57
Porca vacca;1982;5,6;5,57;6;50
The Naked Maya;1959;5;4;6;20
Le battant;1982;6,3;6;7;6
Knightrider 2000;1993;3,8;4;4;4
