MOVIE_TITLE;RELEASE_YEAR;TOMATOMETER_STATUS;RATING_TOMATOMETER;RATING_AUDIENCE;FRESH_CRITICS_COUNT;ROTTEN_CRITICS_COUNT;CRITICS_COUNT;TOP_CRITICS_COUNT
Percy Jackson & the Olympians: The Lightning Thief;2010;Rotten;49;53;73;76;149;43
Please Give;2010;Certified-Fresh;87;64;123;19;142;44
10;1979;Fresh;67;53;16;8;24;2
12 Angry Men (Twelve Angry Men);1957;Certified-Fresh;100;97;54;0;54;6
20,000 Leagues Under The Sea;1954;Fresh;89;74;24;3;27;5
10,000 B.C.;2008;Rotten;8;37;12;137;149;37
The 39 Steps;1935;Certified-Fresh;96;86;49;2;51;8
3:10 to Yuma;1957;Fresh;96;79;27;1;28;6
Charly (A Heartbeat Away);2002;Rotten;20;87;2;8;10;0
Abraham Lincoln;1930;Fresh;82;40;9;2;11;4
Dark Water;2002;Fresh;80;66;12;3;15;3
The Accused;1988;Fresh;91;79;20;2;22;1
The Lost City;2005;Rotten;25;64;21;62;83;37
The Breaking Point;1950;Fresh;100;86;10;0;10;1
Adam's Rib;1949;Fresh;96;86;27;1;28;6
The Bridge of San Luis Rey;2005;Rotten;4;35;1;23;24;13
The Prowler (Cost of Living );1951;Fresh;100;86;18;0;18;6
Criminal;2004;Fresh;69;57;85;39;124;35
The Adventures of Mark Twain;1985;Fresh;80;82;4;1;5;1
Deep Blue;2005;Fresh;67;80;35;17;52;18
The Adventures of Robin Hood;1938;Certified-Fresh;100;89;48;0;48;8
Man Hunt;1941;Fresh;92;75;11;1;12;0
Dead End;2003;Fresh;75;60;6;2;8;1
Bandwagon;1997;Fresh;80;91;4;1;5;1
Whore;2004;Rotten;0;63;0;6;6;4
Tristan & Isolde;2006;Rotten;31;71;38;83;121;36
Wild Side;2005;Fresh;63;80;10;6;16;4
A Tale of Two Pizzas;2003;Rotten;38;;3;5;8;5
Running Scared;2006;Rotten;41;79;54;77;131;39
Going the Distance;2004;Rotten;0;61;0;5;5;2
Ultraviolet;2006;Rotten;8;30;7;76;83;21
Home of the Brave;2004;Fresh;93;48;14;1;15;7
Arthur and the Invisibles;2007;Rotten;22;56;20;72;92;30
Malevolence;2004;Rotten;33;83;6;12;18;4
Eternal;2004;Rotten;21;39;7;27;34;10
A Farewell To Arms;1957;Rotten;0;37;0;12;12;6
The Narrow Margin;1952;Fresh;100;88;11;0;11;0
The Matador;2006;Certified-Fresh;75;65;117;39;156;39
Smile;2005;Rotten;15;66;2;11;13;6
The Intruder (L'Intrus);2005;Fresh;87;73;26;4;30;10
Saint Ralph;2005;Fresh;64;85;44;25;69;26
The Baxter;2005;Rotten;32;75;24;51;75;25
Oliver Twist;2005;Fresh;61;63;87;56;143;39
The Alamo;1960;Rotten;52;63;11;10;21;4
G;2005;Rotten;24;60;7;22;29;17
Alexander the Great;1956;Rotten;0;42;0;8;8;1
Alfie;1966;Fresh;96;76;26;1;27;6
Neverwas;2005;Rotten;14;65;1;6;7;1
The Second Chance;2006;Rotten;44;78;7;9;16;8
Moonlight;2003;Fresh;60;67;6;4;10;6
Aliens;1986;Certified-Fresh;97;94;74;2;76;17
Rise: Blood Hunter;2007;Rotten;36;20;5;9;14;2
All About Eve;1950;Certified-Fresh;99;94;76;1;77;22
When Do We Eat?;2006;Rotten;42;68;16;22;38;19
The Mostly Unfabulous Social Life of Ethan Green;2006;Rotten;30;58;8;19;27;13
Dirty;2006;Rotten;21;42;6;22;28;10
Stay Alive;2006;Rotten;10;55;6;53;59;18
All of Me;1984;Certified-Fresh;85;67;35;6;41;10
All Quiet on the Western Front;1900;Fresh;100;69;5;0;5;0
Dreamland;2006;Fresh;67;65;10;5;15;5
Independent Lens;2006;Certified-Fresh;84;84;42;8;50;22
All the King's Men;1949;Certified-Fresh;95;78;40;2;42;9
Street Fight;2005;Fresh;100;93;22;0;22;11
Lost Horizon;1973;Rotten;20;45;1;4;5;2
The Motel;2005;Fresh;88;64;28;4;32;14
Once in a Lifetime: The Extraordinary Story of the New York Cosmos;2006;Certified-Fresh;81;80;48;11;59;22
Requiem;2006;Fresh;86;66;31;5;36;17
Gui si (Silk);2006;Rotten;40;57;2;3;5;2
Park;2006;Rotten;36;48;4;7;11;6
The 4th Dimension;2006;Fresh;63;31;5;3;8;2
Bon Cop, Bad Cop;2006;Fresh;78;82;7;2;9;2
Amazing Grace;2007;Fresh;67;85;85;41;126;37
The Silence;1900;Rotten;50;38;3;3;6;4
Cocaine Cowboys;2006;Fresh;69;79;35;16;51;25
Gone;2007;Rotten;54;20;7;6;13;4
The Situation;2006;Rotten;35;58;17;31;48;25
Snow Blind;2006;Rotten;20;;1;4;5;4
Four Sheets to the Wind;2007;Fresh;100;61;7;0;7;2
The Tiger's Tail;2006;Rotten;14;30;3;18;21;5
It's a Boy Girl Thing;2006;Fresh;67;61;6;3;9;0
Slipstream;2007;Rotten;25;29;10;30;40;14
Delirious;2007;Certified-Fresh;83;57;52;11;63;25
Interview;2007;Rotten;58;55;72;53;125;44
American Anthem;1986;Rotten;0;65;0;16;16;6
The Ten;2007;Rotten;35;40;29;53;82;28
The Happening;2008;Rotten;17;24;32;151;183;42
Moliere;2007;Fresh;69;79;61;28;89;32
Straightheads (Closure);2007;Rotten;40;32;8;12;20;7
Borderland;2007;Fresh;100;43;8;0;8;0
Spiral;2007;Rotten;55;59;6;5;11;1
Alexandra;2007;Certified-Fresh;88;69;52;7;59;24
Blood and Tears: The Arab-Israeli Conflict;2007;Rotten;50;33;3;3;6;2
The Cool School;2008;Fresh;92;63;24;2;26;12
Pathology;2008;Rotten;45;39;10;12;22;6
Disney's A Christmas Carol;2009;Rotten;52;58;105;96;201;47
Deep Water;2006;Certified-Fresh;96;87;53;2;55;22
Road to Victory;2007;Fresh;78;78;7;2;9;0
Beverly Hills Chihuahua;2008;Rotten;40;52;40;59;99;29
Fireflies in the Garden;2011;Rotten;22;45;12;42;54;23
The Eye;2008;Rotten;21;43;17;63;80;13
Day of the Dead;2008;Rotten;13;22;1;7;8;0
My Best Friend's Girl;2008;Rotten;14;46;8;51;59;17
The Burrowers;2008;Fresh;75;34;9;3;12;1
The Midnight Meat Train;2008;Fresh;73;50;24;9;33;5
The Lucky Ones;2008;Rotten;37;54;28;47;75;29
Run Fatboy Run;2007;Rotten;47;64;72;82;154;39
Closing Escrow;2007;Rotten;54;36;7;6;13;7
Whiteout;2009;Rotten;7;21;8;108;116;28
Randy and the Mob;2007;Rotten;56;39;5;4;9;4
Black Irish;2007;Rotten;31;58;4;9;13;3
Wild Child;2008;Rotten;41;61;11;16;27;9
Powder Blue;2009;Rotten;25;40;2;6;8;2
King Corn;2007;Fresh;96;78;25;1;26;12
L' Avocat de la Terreur (Terror's Advocate);2007;Certified-Fresh;87;67;40;6;46;18
Darfur Now;2007;Fresh;73;73;43;16;59;29
Laaga Chunari Mein Daag - Journey of a Woman;2007;Rotten;50;58;3;3;6;1
Rails & Ties;2007;Rotten;34;58;16;31;47;22
Mr. Untouchable;2007;Fresh;73;54;19;7;26;15
House;2008;Rotten;0;27;0;13;13;1
Canvas;2007;Fresh;78;62;21;6;27;16
Skid Row;2007;Fresh;83;55;5;1;6;2
Saawariya;2007;Rotten;38;46;8;13;21;10
Aaja Nachle;2007;Fresh;67;72;4;2;6;2
Flawless;2008;Rotten;55;54;52;43;95;29
What Happens in Vegas;2008;Rotten;26;65;34;99;133;38
Appaloosa;2008;Certified-Fresh;76;55;125;39;164;43
Good;2008;Rotten;32;32;23;48;71;27
The Visitor;2008;Certified-Fresh;89;84;107;13;120;30
Meet Bill;2008;Rotten;20;44;4;16;20;6
Married Life;2008;Rotten;54;36;64;54;118;38
Badland;2007;Rotten;16;54;3;16;19;7
The Oxford Murders;2010;Rotten;17;33;2;10;12;3
Untraceable;2008;Rotten;16;52;24;124;148;41
The Informers;2009;Rotten;12;18;13;92;105;38
Meeting Resistance;2007;Fresh;82;47;18;4;22;11
The Freshman;;Certified-Fresh;94;61;46;3;49;17
Guta-yubalja-deul (A Bloody Aria);2006;Rotten;42;40;10;14;24;12
Kenny;2008;Fresh;100;86;25;0;25;11
The Rocker;2008;Rotten;41;46;50;73;123;39
The Perfect Holiday;2007;Rotten;19;52;11;48;59;25
La Graine et le Mulet (The Secret of the Grain) (Couscous);2007;Certified-Fresh;93;76;50;4;54;19
Land of the Lost;2009;Rotten;26;32;49;141;190;50
[Rec];2007;Fresh;89;82;34;4;37;5
Look;2007;Fresh;60;56;21;14;35;11
And God Created Woman;1988;Rotten;38;33;3;5;8;1
The Box;2009;Rotten;44;24;68;87;155;30
Man in the Chair;2007;Rotten;50;68;18;18;36;15
Undoing;2006;Rotten;31;26;4;9;13;5
Black Water;2008;Fresh;80;39;16;4;20;8
21;2008;Rotten;35;66;60;110;170;40
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe);2007;Fresh;70;52;46;20;66;30
Ben X;2007;Fresh;68;80;26;12;38;15
Body of Lies;2008;Rotten;55;62;117;96;213;54
Passengers;2008;Rotten;19;35;6;25;31;11
The Grand;2008;Rotten;40;43;17;26;43;17
The Hammer;2007;Certified-Fresh;80;90;32;8;40;17
Shutter;2008;Rotten;9;33;6;60;66;13
Priest;2011;Rotten;15;46;15;85;100;18
The Broken;1900;Rotten;49;25;19;20;39;10
The Escapist;2008;Fresh;64;63;29;16;45;13
Sugar;2008;Certified-Fresh;92;80;126;11;137;45
Quid Pro Quo;2008;Fresh;61;54;22;14;36;17
Red;2008;Fresh;70;68;19;8;27;11
The Guitar;2008;Rotten;33;55;6;12;18;10
The Road;2009;Certified-Fresh;73;68;158;57;215;53
G-Force;2009;Rotten;22;39;28;99;127;37
The Other Man;2008;Rotten;15;18;6;33;39;17
The Duchess;2008;Fresh;62;67;105;65;170;48
The Women;2008;Rotten;14;38;20;128;148;44
Public Enemies;2009;Fresh;68;59;188;90;278;58
Night and Day (Bam gua nat);2009;Fresh;93;68;13;1;14;5
Julia;2009;Certified-Fresh;72;67;42;16;58;20
Angel and the Badman;1947;Fresh;71;67;5;2;7;0
Fade to Black;2006;Rotten;29;34;2;5;7;4
Angel Heart;1987;Fresh;79;81;23;6;29;3
Old Dogs;2009;Rotten;5;44;6;104;110;35
Surrogates;2009;Rotten;37;38;43;73;116;27
The Promotion;2008;Rotten;53;28;41;36;77;28
Notorious;2009;Rotten;52;65;76;70;146;50
Soul Men;2008;Rotten;46;58;45;53;98;33
Igor;2008;Rotten;39;38;36;57;93;30
The Matador;2008;Fresh;73;65;11;4;15;6
The Auteur;2008;Fresh;67;41;4;2;6;1
The Caller;2008;Rotten;13;19;2;14;16;6
Sin Nombre;2009;Certified-Fresh;88;89;106;14;120;40
Das Haus der Schlafenden Schonen (House of the Sleeping Beauties);2008;Rotten;28;17;5;13;18;7
The Stone Angel;2007;Rotten;44;58;11;14;25;11
Alvin and the Chipmunks: The Squeakquel;2009;Rotten;20;49;17;67;84;30
Un Conte de Noel (A Christmas Tale);2008;Certified-Fresh;86;66;113;19;132;39
The Rebound;2009;Rotten;41;46;11;16;27;3
Ripple Effect;2008;Rotten;29;;2;5;7;3
1,000 Times Good Night;2014;Fresh;71;65;39;16;55;22
Harold;2008;Rotten;31;41;5;11;16;6
Push;2009;Rotten;23;42;29;98;127;31
Felon;2008;Fresh;63;82;15;9;24;13
Scar;2007;Rotten;0;11;0;18;18;7
The Unborn;2009;Rotten;10;30;12;107;119;25
Bitch Slap;2010;Rotten;29;29;5;12;17;4
Forever Strong;2008;Rotten;29;75;6;15;21;10
Chocolate;2008;Fresh;74;73;25;9;34;11
Fireproof;2008;Rotten;38;82;8;13;21;7
Dostana;2008;Fresh;87;68;13;2;15;4
The Garden;2008;Fresh;79;85;19;5;24;10
Splinter;2008;Fresh;73;49;27;10;37;16
Leaves of Grass;2010;Fresh;61;49;23;15;38;15
Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven);2008;Fresh;78;71;7;2;9;2
The Proposal;2009;Rotten;45;67;84;104;188;47
Gigantic;2009;Rotten;36;34;30;53;83;27
Fuel;2008;Fresh;72;82;13;5;18;7
Hush;2009;Rotten;50;37;4;4;8;2
Anna Karenina;1935;Fresh;93;69;13;1;14;0
Orphan;2009;Rotten;56;63;86;68;154;42
My Sister's Keeper;2009;Rotten;48;72;66;71;137;42
The Hangover;2009;Certified-Fresh;78;84;187;52;239;51
The Stepfather;2009;Rotten;11;35;7;56;63;15
Okuribito (Departures);2009;Certified-Fresh;80;92;86;22;108;37
Boogie (Summer Holiday);2008;Fresh;100;67;10;0;10;4
Prima Ballerina;2009;Fresh;81;100;21;5;26;10
Season of the Witch;2011;Rotten;11;30;14;110;124;30
Shuttle;2009;Rotten;50;36;11;11;22;7
Miss March;2009;Rotten;5;29;4;76;80;21
An American Affair;2009;Rotten;16;41;6;31;37;17
Grace;2009;Fresh;71;31;22;9;31;4
Endgame;2009;Fresh;71;57;5;2;7;2
The Red Baron (Der rote Baron);2008;Rotten;20;43;5;20;25;9
The Objective;2008;Rotten;33;32;4;8;12;3
Happy Tears;2010;Rotten;27;21;9;24;33;15
The Missing Person;2009;Fresh;64;44;16;9;25;12
Polanski (Polanski Unauthorized);2009;Rotten;0;38;0;6;6;2
Mammoth (Mammut);2009;Rotten;45;63;19;23;42;19
Crude;2009;Certified-Fresh;95;85;63;3;66;28
The Messenger;2009;Certified-Fresh;90;75;145;17;162;41
Lake Mungo;2009;Fresh;95;62;20;1;21;2
Venkovsky Ucitel (The Country Teacher);2008;Fresh;81;72;22;5;27;10
The Apartment;1960;Certified-Fresh;93;94;66;5;71;17
Chatham (The Golden Boys);2009;Rotten;28;22;5;13;18;6
The Ape;1940;Rotten;43;12;3;4;7;0
Fame;2009;Rotten;24;36;29;93;122;36
Outrage;2009;Certified-Fresh;77;76;46;14;60;24
Skin;2009;Certified-Fresh;84;79;54;10;64;28
Helen;2008;Fresh;67;36;14;7;21;10
Bakjwi (Thirst);2009;Certified-Fresh;81;75;93;22;115;35
Vengeance (Fuk sau);2010;Fresh;91;60;20;2;22;10
New World Order;2009;Rotten;56;48;5;4;9;4
April Fool's Day;1986;Rotten;50;47;10;10;20;1
Blood: The Last Vampire;2009;Rotten;25;33;13;40;53;15
Shrink;2009;Rotten;27;50;17;47;64;32
Ong Bak 2;2009;Rotten;48;53;33;36;69;21
Bananas!;2009;Fresh;86;44;6;1;7;4
Last Ride;2012;Fresh;93;65;26;2;28;10
Tron Legacy;2010;Rotten;51;63;123;120;243;54
The Canyon;2009;Rotten;27;32;4;11;15;6
Manson, My Name Is Evil;2009;Fresh;67;27;6;3;9;2
Broken Hill;2009;Rotten;50;61;3;3;6;2
A Beautiful Life;2009;Rotten;0;24;0;12;12;8
Suck;2010;Rotten;50;53;5;5;10;2
Chloe;2010;Rotten;51;39;83;80;163;46
Armed and Dangerous;1986;Rotten;10;39;1;9;10;2
The Hole;2012;Fresh;81;46;29;7;36;8
NoBody's Perfect;2008;Fresh;73;87;8;3;11;6
The Good Soldier;2009;Fresh;75;80;12;4;16;5
High Life;2009;Fresh;80;43;4;1;5;2
Around the World in 80 Days;1956;Fresh;69;57;29;13;42;9
The Fall;2009;Rotten;20;;1;4;5;2
The Good Heart;2010;Rotten;30;58;11;26;37;17
Wonderful World;2010;Rotten;42;33;13;18;31;15
Collapse;2009;Certified-Fresh;83;83;34;7;41;19
Three Blind Mice;1900;Fresh;80;50;4;1;5;1
The Last Song;2010;Rotten;21;66;25;95;120;35
Babies;2010;Fresh;68;62;79;37;116;36
Lottery Ticket;2010;Rotten;34;44;28;54;82;24
Going the Distance;2010;Rotten;54;52;90;77;167;39
Life as We Know It;2010;Rotten;29;61;44;107;151;41
The Final;2010;Rotten;13;32;1;7;8;1
Frozen;2010;Fresh;63;46;61;36;97;32
Prodigal Sons;2010;Fresh;87;79;26;4;30;12
The Ghost Writer;2010;Certified-Fresh;84;70;173;33;206;47
Repo Men;2010;Rotten;22;41;33;119;152;35
7 Days (Les 7 jours du talion);2010;Fresh;80;68;12;3;15;2
Daddy Longlegs;2010;Fresh;78;52;25;7;32;18
Veer;2010;Rotten;40;47;2;3;5;0
Winter's Bone;2010;Certified-Fresh;94;76;164;10;174;44
The Kids Are All Right;2010;Certified-Fresh;92;74;207;17;224;49
Lucky;2010;Fresh;60;39;3;2;5;2
High School;2012;Rotten;28;48;15;39;54;18
Stolen;2010;Rotten;0;39;0;20;20;12
The Killing Jar;2010;Rotten;0;36;0;8;8;6
La MISSION;2010;Rotten;50;72;13;13;26;9
Predators;2010;Fresh;64;52;130;72;202;32
Stonewall Uprising;2010;Fresh;84;76;26;5;31;15
The Oath;2010;Fresh;91;79;21;2;23;10
The Wild Hunt;2010;Fresh;82;74;9;2;11;2
Arthur;1981;Fresh;88;77;29;4;33;7
The Lottery;2010;Fresh;64;76;9;5;14;7
Assault on Precinct 13;1976;Certified-Fresh;98;80;42;1;43;5
Asylum;1972;Fresh;67;48;8;4;12;2
Attack of the 50 Foot Woman;1958;Fresh;75;20;9;3;12;0
Avenging Angel;1900;Rotten;33;25;2;4;6;1
The Aviator;1985;Rotten;20;41;1;4;5;0
The Awakening;1980;Rotten;0;22;0;5;5;0
Babes in Toyland;1961;Rotten;36;59;4;7;11;1
Bad Company;1972;Fresh;92;71;11;1;12;4
The Bad News Bears;1976;Fresh;97;80;31;1;32;8
The Bad Seed;1956;Fresh;63;83;17;10;27;5
Bang The Drum Slowly;1973;Fresh;92;62;35;3;38;10
Battleground;1949;Fresh;75;82;6;2;8;1
Beauty and The Beast (La Belle et la bete);1946;Certified-Fresh;95;90;63;3;66;16
The Belles of St. Trinian's;1900;Fresh;67;70;4;2;6;0
1001 Grams;2015;Fresh;82;48;18;4;22;7
The Best of Times;1986;Rotten;31;43;4;9;13;2
Betrayed;1988;Rotten;42;52;5;7;12;3
The Big Brawl (Battle Creek Brawl);1980;Fresh;67;44;4;2;6;0
Big Business;1988;Rotten;44;69;8;10;18;2
The Big Heat;1900;Fresh;100;90;31;0;31;7
The Big Sleep;1946;Certified-Fresh;97;91;63;2;65;15
The Big Sleep;1900;Fresh;67;26;4;2;6;1
Billy Budd;1962;Fresh;90;86;9;1;10;0
The Birds;1963;Certified-Fresh;95;83;53;3;56;10
Black Christmas;1974;Fresh;71;75;24;10;34;4
The Black Hole;1979;Rotten;38;45;12;20;32;4
The Black Pirate;1926;Fresh;100;68;12;0;12;1
Black Rain;1900;Rotten;50;55;11;11;22;1
Black Sunday;1977;Fresh;69;64;18;8;26;6
Black Widow;1987;Rotten;50;40;11;11;22;2
Blackmail;1929;Fresh;86;65;19;3;22;4
Blind Date;1987;Rotten;21;42;5;19;24;3
Blood and Sand;1941;Fresh;100;67;9;0;9;0
Blood Feast;1963;Rotten;38;44;5;8;13;0
Der Blaue Engel (The Blue Angel);1930;Certified-Fresh;96;87;43;2;45;12
Bluebeard;1944;Fresh;100;38;12;0;12;3
The Border;1982;Fresh;80;53;8;2;10;1
Born Yesterday;1950;Fresh;97;86;33;1;34;6
The Boston Strangler;1968;Fresh;86;78;12;2;14;2
The Bounty;1984;Fresh;74;72;14;5;19;4
The Boys from Brazil;1978;Fresh;69;66;22;10;32;5
Brainstorm;1983;Rotten;55;56;11;9;20;1
Breakout;1900;Rotten;40;41;4;6;10;1
Brewster's Millions;1985;Rotten;35;55;8;15;23;0
Brian's Song;1970;Fresh;92;82;12;1;13;2
Brief Encounter;1945;Certified-Fresh;91;91;40;4;44;15
Broken Arrow;1950;Fresh;89;70;8;1;9;3
Broken Blossoms;1919;Fresh;95;71;21;1;22;5
The Brotherhood;1968;Fresh;67;25;6;3;9;2
Bug;1975;Rotten;33;25;4;8;12;3
Burglar;1987;Rotten;27;39;3;8;11;1
Bus Stop;1956;Fresh;79;62;11;3;14;0
Butch Cassidy and the Sundance Kid;1969;Certified-Fresh;90;92;46;5;51;8
Bye Bye Birdie;1963;Fresh;89;66;25;3;28;6
Calamity Jane;1953;Fresh;71;87;15;6;21;4
Camelot;1967;Rotten;41;69;7;10;17;1
Camille;1936;Fresh;93;83;13;1;14;2
Cape Fear;1962;Fresh;100;86;22;0;22;1
Captain Blood;1935;Fresh;100;89;27;0;27;4
Captains Courageous;1937;Fresh;94;89;17;1;18;0
Carnival of Souls;1962;Fresh;86;73;31;5;36;5
Carny;1980;Rotten;50;52;3;3;6;2
Carrie;1976;Certified-Fresh;93;77;62;5;67;13
Casablanca;1942;Certified-Fresh;99;95;91;1;92;23
Casino Royale;1967;Rotten;25;34;10;30;40;8
The Cat and the Canary;1927;Fresh;94;74;24;1;16;8
Cat on a Hot Tin Roof;1958;Fresh;97;92;36;1;37;5
Cat People;1942;Certified-Fresh;95;73;53;3;56;6
Cat People;1982;Fresh;61;46;28;18;46;7
Caught;1949;Fresh;100;78;8;0;8;0
The Champ;1979;Rotten;36;82;8;14;22;5
Champion;1949;Fresh;93;74;13;1;14;5
Charade;1963;Certified-Fresh;94;92;46;3;49;9
Charlotte's Web;1973;Fresh;77;67;17;5;22;1
The Chase;1966;Fresh;89;74;8;1;9;0
Checking Out;1989;Rotten;20;18;1;4;5;1
Children of the Corn;1984;Rotten;35;40;9;17;26;0
The Chosen;1981;Fresh;75;79;9;3;12;5
A Christmas Carol;1938;Fresh;100;74;13;0;13;0
Christmas in Connecticut;1945;Fresh;88;75;15;2;17;3
A Christmas Story;1983;Certified-Fresh;89;88;51;6;57;7
Cimarron;1931;Rotten;50;25;12;12;24;6
Cleopatra;1963;Fresh;62;69;24;15;39;10
College;1927;Fresh;89;73;17;2;19;4
Colors;1988;Fresh;82;72;28;6;34;7
Coma;1978;Fresh;81;66;21;5;26;5
Commando;1985;Fresh;71;67;24;10;34;4
Convoy;1978;Rotten;43;73;6;8;14;3
Countdown;1968;Fresh;67;27;4;2;6;1
The Country Girl;1954;Fresh;86;77;6;1;7;0
Cover Girl;1944;Fresh;95;70;18;1;19;4
Creature from the Black Lagoon;1954;Certified-Fresh;79;73;33;9;42;5
Crossroads;1986;Fresh;73;82;11;4;15;2
Cutting Class;1989;Rotten;25;22;2;6;8;0
Damn Yankees;1958;Fresh;76;69;13;4;17;5
Dangerous;1935;Fresh;83;61;5;1;6;0
Dangerous Liaisons;1988;Fresh;93;83;28;2;30;8
The Dark Mirror;1946;Fresh;71;56;5;2;7;1
Darling;1965;Fresh;67;71;12;6;18;3
Day of the Dead;1985;Fresh;81;75;30;7;37;3
The Day the Earth Stood Still;1951;Certified-Fresh;95;87;53;3;56;6
Days of Wine and Roses;1962;Fresh;100;88;12;0;12;1
Dead Heat;1988;Rotten;11;49;1;8;9;3
Dead Reckoning;1947;Fresh;67;66;4;2;6;0
Death in Venice;1971;Fresh;71;81;17;7;24;4
Death of a Salesman;1985;Fresh;100;75;8;0;8;0
Demoni (Demons);1985;Fresh;60;65;6;4;10;0
The Desperate Hours;1955;Fresh;86;79;6;1;7;0
Devil Doll;1964;Rotten;20;28;1;4;5;0
Dillinger;1973;Fresh;92;73;12;1;13;1
Dinner at Eight;1933;Fresh;90;74;18;2;20;1
Distant Thunder;1988;Rotten;43;45;3;4;7;1
Doctor Zhivago;1965;Certified-Fresh;84;88;41;8;49;15
Dodge City;1939;Fresh;100;74;13;0;13;1
Dolls;1987;Fresh;60;51;9;6;15;1
Dr. Jekyll and Mr. Hyde;1931;Certified-Fresh;90;80;36;4;40;10
How the Grinch Stole Christmas;1967;Fresh;100;98;25;0;25;5
Dracula;1931;Certified-Fresh;92;81;44;4;48;7
Dracula;1973;Fresh;60;43;3;2;5;0
Dracula;1979;Rotten;59;58;10;7;17;1
Dragnet;1900;Rotten;51;41;18;17;35;8
The Dream Team;1989;Rotten;57;61;8;6;14;1
Dressed to Kill;1980;Certified-Fresh;80;74;40;10;50;5
Duel;1972;Fresh;88;84;36;5;41;4
Dune;1984;Rotten;53;66;26;23;49;9
The Eagle Has Landed;1900;Fresh;67;67;6;3;9;0
East of Eden;1955;Fresh;85;90;33;6;39;5
Easy Money;1983;Fresh;60;58;6;4;10;3
Eaten Alive;1977;Rotten;35;30;6;11;17;0
Edipo re (Oedipus Rex);1967;Fresh;88;77;7;1;8;4
The Elephant Man;1980;Certified-Fresh;92;93;49;4;53;10
The Enforcer;1976;Fresh;68;59;23;11;34;4
The Enforcer;1951;Fresh;88;70;7;1;8;0
Escape from New York;1981;Certified-Fresh;86;77;55;9;64;9
Exodus;1960;Fresh;63;69;10;6;16;3
Eyewitness;1981;Fresh;75;38;9;3;12;5
Fahrenheit 451;1966;Fresh;81;72;29;7;36;5
The Fan;1981;Rotten;38;32;6;10;16;1
Fandango;1985;Rotten;50;78;3;3;6;0
Far From the Madding Crowd;1967;Fresh;64;76;18;10;28;14
Farewell, My Lovely;1975;Fresh;76;73;16;5;21;5
Fatal Attraction;1987;Certified-Fresh;76;72;41;13;54;9
Father of the Bride;1950;Fresh;90;74;28;3;31;6
Fire and Ice;1983;Fresh;60;53;3;2;5;0
Flash Gordon;1980;Certified-Fresh;83;69;40;8;48;7
Flashback;;Rotten;43;60;6;8;14;1
Flesh & Blood (Flesh+Blood) (The Rose and the Sword);1985;Fresh;85;63;17;3;20;2
The Flight of the Phoenix;1965;Fresh;90;81;19;2;21;1
Flipper;1963;Rotten;40;49;2;3;5;0
The Fly;1958;Certified-Fresh;95;70;38;2;40;5
The Fly;1986;Certified-Fresh;92;83;60;5;65;12
Flying Tigers;1942;Fresh;67;68;6;3;9;0
Footloose;1984;Rotten;52;71;22;20;42;6
The Four Feathers;1939;Fresh;100;85;9;0;9;0
Frantic;1988;Certified-Fresh;76;64;32;10;42;6
Freaky Friday;1976;Fresh;70;57;16;7;23;4
Fright Night;1985;Fresh;92;76;34;3;37;5
From Here to Eternity;1953;Certified-Fresh;92;84;56;5;61;16
Frosty the Snowman;1969;Fresh;73;72;11;4;15;5
The Fugitive;1947;Fresh;86;61;6;1;7;0
Fun with Dick and Jane;1900;Rotten;50;51;7;7;14;1
Funny Farm;1988;Fresh;65;50;13;7;20;2
The Fury;1978;Fresh;75;49;21;7;28;1
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest);1981;Rotten;31;29;4;9;13;0
Gallipoli;1981;Certified-Fresh;91;83;41;4;45;10
The Gambler;1974;Fresh;78;77;7;2;9;1
Game of Death;1978;Rotten;50;64;6;6;12;1
The General;1927;Certified-Fresh;93;92;53;4;57;11
The Getaway;1972;Fresh;86;81;18;3;21;2
Girls! Girls! Girls!;1962;Rotten;33;50;2;4;6;0
Gloria;1980;Fresh;93;80;25;2;27;6
Glory;1989;Certified-Fresh;93;93;41;3;44;10
Go West;1940;Fresh;89;59;8;1;9;0
Gone in 60 Seconds;1974;Rotten;43;66;6;8;14;1
The Goodbye Girl;1977;Fresh;84;84;16;3;19;1
Goodbye, Mr. Chips;1939;Fresh;82;87;14;3;17;0
The Great Gatsby;1974;Rotten;39;47;14;22;36;7
The Great Race;1965;Fresh;74;83;17;6;23;2
The Green Berets;1968;Rotten;23;61;3;10;13;2
Grizzly;1976;Rotten;40;31;4;6;10;1
The Group;1966;Fresh;60;58;3;2;5;0
Gulliver's Travels;1939;Fresh;69;53;9;4;13;0
The Gunfighter;1950;Fresh;100;89;13;0;13;1
Gung Ho;1986;Rotten;33;46;7;14;21;6
Gypsy;1962;Fresh;64;74;9;5;14;0
Hairspray;1988;Certified-Fresh;98;80;41;1;42;9
Halloween;1978;Certified-Fresh;96;89;69;3;72;10
Hamlet;1948;Certified-Fresh;95;80;38;2;40;8
The Hand;1981;Rotten;11;28;1;8;9;1
Hard Times;1900;Fresh;92;81;12;1;13;2
Hardcore;1979;Fresh;76;67;19;6;25;1
The Harder They Fall;1956;Fresh;100;80;12;0;12;1
The Haunting;1963;Certified-Fresh;88;82;36;5;41;7
